drug_name,active_ingredient,drug_classes,original_conditions
equaline sleep aid,doxylamine succinate,"Miscellaneous anxiolytics, sedatives and hypnotics",Allergies
equate sleep aid,doxylamine succinate,"Miscellaneous anxiolytics, sedatives and hypnotics",Allergies
equetro,carbamazepine,Dibenzazepine anticonvulsants,Bipolar Disorde|Bipolar Disorder
erelzi,etanercept,"Antirheumatics, TNF alfa inhibitors",Rheumatoid Arthritis
ergoloid mesylates,ergoloid mesylates,Miscellaneous central nervous system agents,Alzheimer's|Alzheimer's Disease|Arteriosclerotic Dementia|Dementia
ergomar,ergotamine,Antimigraine agents,Migraine
ergotamine,ergotamine,Antimigraine agents,Migraine
ertapenem,ertapenem,Carbapenems,Infection Prophylaxis|Pelvic Infections|Pneumonia
ertugliflozin,ertugliflozin,SGLT-2 inhibitors,Diabetes (Type 2)
ery pads,erythromycin,"Topical acne agents, Topical antibiotics",Acne
ery-tab,erythromycin,Macrolides,Bronchitis
eryc,erythromycin,Macrolides,Bronchitis
erygel,erythromycin topical,"Topical acne agents, Topical antibiotics",Acne
eryped,erythromycin,Macrolides,Bronchitis
erythrocin,erythromycin,Macrolides,Bronchitis|Strep Throat
erythrocin lactobionate,erythromycin,Macrolides,Bronchitis
erythromycin,erythromycin,Macrolides,"Acne|Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)|Bartonellosis|Bowel Preparation|Bronchitis|Bullous Pemphigoid|Campylobacter Gastroenteritis|Chancroid|Chlamydia Infection|Conjunctivitis, Bacterial|Dental Abscess|Legionella Pneumonia|Lyme Disease|Lymphogranuloma Venereum|Mycoplasma Pneumonia|Nongonococcal Urethritis|Ocular Rosacea|Otitis Media|Pemphigoid|Perioral Dermatitis|Pertussis|Pharyngitis|Rheumatic Fever Prophylaxis|Skin or Soft Tissue Infection|Strep Throat|Strep Throat (Streptococcal Pharyngitis)|Syphilis, Early|Upper Respiratory Tract Infection"
escitalopram,escitalopram,Selective serotonin reuptake inhibitors,Anxiety|Bipolar Disorde|Body Dysmorphic Disorde|Body Dysmorphic Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Depression|Fibromyalgia|Generalized Anxiety Disorde|Generalized Anxiety Disorder|Irritable Bowel Syndrome|Major Depressive Disorde|Major Depressive Disorder|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|Premenstrual Dysphoric Disorde|Premenstrual Dysphoric Disorder|Somatoform Pain Disorder|Trichotillomania|Vulvodynia|ibromyalgia
esidrix,hydrochlorothiazide,Thiazide diuretics,Hypertension
esketamine,esketamine,Miscellaneous antidepressants,Depression
eslicarbazepine,eslicarbazepine,Dibenzazepine anticonvulsants,Seizures
esmolol,esmolol,"Cardioselective beta blockers, Group II antiarrhythmics",Atrial Flutter|Hypertension|Intra- or Post-op SVT or Hypertension|Supraventricular Tachycardia
esomeprazole,esomeprazole,Proton pump inhibitors,Barrett's Esophagus|Duodenal Ulcer Prophylaxis|Erosive Esophagitis|GERD|GERD (Heartburn)|Gastric Ulcer Prophylaxis|Gastritis/Duodenitis|Helicobacter Pylori Infection|NSAID-Induced Gastric Ulce|NSAID-Induced Gastric Ulcer|Not Listed / Othe|Pathological Hypersecretory Conditions|Zollinger-Ellison Syndrome
estar,coal tar,Miscellaneous topical agents,Psoriasis
estropipate,estropipate,Estrogens,Hypoestrogenism|Oophorectomy|Osteoporosis|Postmenopausal Symptoms|Primary Ovarian Failure
eszopiclone,eszopiclone,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
etanercept,etanercept,"Antirheumatics, TNF alfa inhibitors",Alzheimer's|Alzheimer's Disease|Ankylosing Spondylitis|Behcet's Disease|Cogan's Syndrome|Granulomatosis with Polyangiitis|Histiocytosis|Juvenile Idiopathic Arthritis|Juvenile Rheumatoid Arthritis|Macrophage Activation Syndrome|Not Listed / Othe|Plaque Psoriasis|Psoriasis|Psoriatic Arthritis|Rheumatoid Arthritis|SAPHO Syndrome|Spondyloarthritis|Still's Disease
eth-oxydose,oxycodone,Opioids (narcotic analgesics),Pain
ethosuximide,ethosuximide,Succinimide anticonvulsants,Seizures
etoposide,etoposide,Mitotic inhibitors,Cancer|Hodgkin's Lymphoma|Small Cell Lung Cancer|Testicular Cancer
etravirine,etravirine,NNRTIs,AIDS/HIV|HIV Infection
eucalyptamint,methyl salicylate topical,Topical rubefacient,Osteoarthritis
euflexxa,sodium hyaluronate,Viscosupplementation agents,Osteoarthritis
euthyrox,levothyroxine,Thyroid drugs,Hypothyroidism
evekeo,amphetamine,CNS stimulants,ADHD|Narcolepsy
evekeo odt,amphetamine,CNS stimulants,ADHD
evenity,romosozumab,Miscellaneous bone resorption inhibitors,Osteoporosis
evista,raloxifene,"Hormones / antineoplastics, Selective estrogen receptor modulators","Breast Cancer, Prevention|Osteoporosis|Prevention of Osteoporosis"
evoclin,clindamycin topical,Topical acne agents,Acne
ex-lax milk of magnesia,magnesium hydroxide,"Antacids, Laxatives",Acne
exelon,rivastigmine,Cholinesterase inhibitors,Alzheimer's|Alzheimer's Disease|Parkinson's Disease
exenatide,exenatide,Incretin mimetics,"Diabetes (Type 2)|Diabetes, Type 2|Not Listed / Othe"
exocaine plus,methyl salicylate topical,Topical rubefacient,Osteoarthritis
exparel,bupivacaine liposome,Local injectable anesthetics,Pain
ezallor,rosuvastatin,Statins,Cholesterol
ezetimibe,ezetimibe,Cholesterol absorption inhibitors,"Cholesterol|High Cholesterol|High Cholesterol, Familial Heterozygous|Sitosterolemia"
fabior,tazarotene topical,Topical acne agents,Acne
factive,gemifloxacin,Quinolones,Bronchitis|Pneumonia|Strep Throat
famotidine,famotidine,H2 antagonists,Allergic Urticaria|Cutaneous Mastocytosis|Duodenal Ulce|Duodenal Ulcer|Duodenal Ulcer Prophylaxis|Erosive Esophagitis|GERD|GERD (Heartburn)|Hiatal Hernia|Indigestion|Laryngopharyngeal Reflux|Not Listed / Othe|Pathological Hypersecretory Conditions|Peptic Ulce|Peptic Ulcer|Stomach Ulcer (Gastric Ulcer)|Upper GI Hemorrhage|Urticaria|Zollinger-Ellison Syndrome
fanapt,iloperidone,Atypical antipsychotics,Bipolar Disorde|Psychosis|Schizophrenia
fazaclo,clozapine,Atypical antipsychotics,Schizophrenia
febrol solution,acetaminophen liquid,Miscellaneous analgesics,Pain
febuxostat,febuxostat,Antihyperuricemic agents,Gout
feldene,piroxicam,Nonsteroidal anti-inflammatory drugs,Osteoarthritis|Pain|Rheumatoid Arthritis|Temporomandibular Joint Disorde
fenesin ir,guaifenesin,Expectorants,Bronchitis
fenofibric acid,fenofibric acid,Fibric acid derivatives,Cholesterol|High Cholesterol|Hypertriglyceridemia
fenoprofen,fenoprofen,Nonsteroidal anti-inflammatory drugs,"Gout, Acute|Osteoarthritis|Rheumatoid Arthritis"
fenortho,fenoprofen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
fesoterodine,fesoterodine,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Frequency|Urinary Incontinence
fetroja,cefiderocol,Other cephalosporins,UTI
fetzima,levomilnacipran,Serotonin-norepinephrine reuptake inhibitors,Depression|Major Depressive Disorde
feverall,acetaminophen,Miscellaneous analgesics,Pain
fexofenadine,fexofenadine,Antihistamines,Allergic Rhinitis|Hayfever|Not Listed / Othe|Physical Urticaria|Urticaria
fiasp,insulin aspart,Insulin,Diabetes (Type 1)
fiber lax,polycarbophil,Laxatives,Constipation
fibercon,polycarbophil,Laxatives,Constipation
fibertab,polycarbophil,Laxatives,Constipation
fibricor,fenofibric acid,Fibric acid derivatives,Cholesterol
flac,fluocinolone otic,Otic steroids,Eczema
flagyl,metronidazole,"Amebicides, Miscellaneous antibiotics","Bacterial Infection|Bacterial Vaginitis|Clostridial Infection|Crohn's Disease, Acute|Crohn's Disease, Maintenance|Dental Abscess|Diverticulitis|Giardiasis|Helicobacter Pylori Infection|Intraabdominal Infection|Pneumonia|Skin or Soft Tissue Infection|Trichomoniasis"
flagyl 375,metronidazole,"Amebicides, Miscellaneous antibiotics",Pneumonia
flagyl iv,metronidazole,"Amebicides, Miscellaneous antibiotics",Bacterial Infection|Diverticulitis|Pneumonia
flanax pain reliever,naproxen sodium,Nonsteroidal anti-inflammatory drugs,Costochondritis|Osteoarthritis
fleet glycerin suppositories adult,glycerin,Laxatives,Constipation
fleet glycerin suppositories pediatric,glycerin,Laxatives,Constipation
flexall,menthol topical,Topical rubefacient,Pain
flonase,fluticasone nasal,Nasal steroids,Allergic Rhinitis|Hayfever|Nasal Polyps|Rhinitis
flonase allergy relief,fluticasone nasal spray,Nasal steroids,Hayfever|Rhinitis
flonase sensimist,fluticasone nasal spray,Nasal steroids,Allergic Rhinitis|Hayfever
florastor,saccharomyces boulardii lyo,"Antidiarrheals, Probiotics",Diarrhea
florastor kids,saccharomyces boulardii lyo,"Antidiarrheals, Probiotics",Diarrhea
floxin,ofloxacin,Quinolones,Bronchitis|Campylobacter Gastroenteritis
fluocinolone,fluocinolone topical,Topical steroids,Atopic Dermatitis|Dermatitis|Diabetic Macular Edema|Eczema|Lichen Sclerosus|Macular Edema|Seborrheic Dermatitis|Uveitis
fluocinonide,fluocinonide topical,Topical steroids,Atopic Dermatitis|Dermatitis|Eczema|Granuloma Annulare|Lichen Planus|Psoriasis
fluocinonide-e,fluocinonide topical,Topical steroids,Eczema
fluoxetine,fluoxetine,Selective serotonin reuptake inhibitors,Agoraphobia|Anxiety and Stress|Binge Eating Disorde|Binge Eating Disorder|Body Dysmorphic Disorde|Body Dysmorphic Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Bulimia|Depression|Dissociative Identity Disorder|Dysautonomia|Excoriation Disorder|Fibromyalgia|Hot Flashes|Intermittent Explosive Disorder|Major Depressive Disorde|Major Depressive Disorder|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|PANDAS Syndrome|Panic Disorde|Panic Disorder|Persistent Depressive Disorde|Persistent Depressive Disorder|Postpartum Depression|Premature Ejaculation|Premenstrual Dysphoric Disorde|Premenstrual Dysphoric Disorder|Schizoaffective Disorde|Schizoaffective Disorder|Somatoform Pain Disorder|Trichotillomania|Vulvodynia|ibromyalgia
flurandrenolide,flurandrenolide topical,Topical steroids,Atopic Dermatitis|Dermatitis|Eczema|Psoriasis
fluticasone,fluticasone nasal,Nasal steroids,"Allergic Rhinitis|Asthma, Maintenance|Atopic Dermatitis|Bronchopulmonary Dysplasia|Dermatitis|Dermatologic Lesion|Eczema|Eosinophilic Esophagitis|Hayfever|Lichen Sclerosus|Nasal Polyps|Not Listed / Othe|Rhinitis"
fluvastatin,fluvastatin,Statins,"Cholesterol|Dyslipidemia|High Cholesterol, Familial Heterozygous|Hyperlipoproteinemia Type IIa, Elevated LDL|Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL"
focalin,dexmethylphenidate,CNS stimulants,ADHD|Auditory Processing Disorde
focalin xr,dexmethylphenidate,CNS stimulants,ADHD|Auditory Processing Disorde
fortaz,ceftazidime,Third generation cephalosporins,Pneumonia
forteo,teriparatide,Parathyroid hormone and analogs,Hypoparathyroidism|Osteoporosis
fosamax,alendronate,Bisphosphonates,Osteoporosis|Prevention of Osteoporosis
fosamprenavir,fosamprenavir,Protease inhibitors,AIDS/HIV
fostemsavir,fostemsavir,Miscellaneous antivirals,AIDS/HIV
fostex wash 10%,benzoyl peroxide topical,Topical acne agents,Acne
fototar,coal tar,Miscellaneous topical agents,Psoriasis
fragmin,dalteparin,Heparins,Angina
frova,frovatriptan,Antimigraine agents,Migraine
frovatriptan,frovatriptan,Antimigraine agents,Migraine
furadantin,nitrofurantoin,Urinary anti-infectives,Bladder Infection|UTI
furosemide,furosemide,Loop diuretics,Ascites|Edema|Heart Failure|Heart Failure (Congestive Heart Failure)|High Blood Pressure|High Blood Pressure (Hypertension)|Hypercalcemia|Hypertension|Nonobstructive Oliguria|Oliguria|Pulmonary Edema|Renal Failure|Renal Transplant
fuzeon,enfuvirtide,Miscellaneous antivirals,AIDS/HIV|HIV Infection
fycompa,perampanel,AMPA receptor antagonists,Epilepsy|Seizures
gabitril,tiagabine,Gamma-aminobutyric acid reuptake inhibitors,Seizures
galantamine,galantamine,Cholinesterase inhibitors,Alzheimer's|Alzheimer's Disease
ganaxolone,ganaxolone,Gamma-aminobutyric acid analogs,Seizures
garamycin,gentamicin,Aminoglycosides,Pneumonia
gastrocrom,cromolyn sodium,Mast cell stabilizers,IBD (Bowel)|Systemic Mastocytosis
gavilax,polyethylene glycol 3350,Laxatives,Constipation
gelnique,oxybutynin,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Incontinence
gelsyn-3,sodium hyaluronate,Viscosupplementation agents,Osteoarthritis
gemfibrozil,gemfibrozil,Fibric acid derivatives,"Cholesterol|High Cholesterol|Hyperlipoproteinemia|Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL|Hyperlipoproteinemia Type IV, Elevated VLDL|Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL"
gemifloxacin,gemifloxacin,Quinolones,Bronchitis|Pneumonia|Strep Throat|Strep Throat (Streptococcal Pharyngitis)
genacote,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
gengraf,cyclosporine,Calcineurin inhibitors,"Organ Transplant, Rejection Prophylaxis|Psoriasis"
genpril,ibuprofen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
gentamicin,gentamicin,Aminoglycosides,"Bacteremia|Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)|Bone infection (Osteomyelitis)|Brucellosis|Burns, External|Conjunctivitis, Bacterial|Cystic Fibrosis|Endocarditis|Endometritis|Febrile Neutropenia|Intraabdominal Infection|Meningitis|Paronychia|Peritonitis|Plague|Pneumonia|Rabbit Fever (Tularemia)|Skin and Structure Infection|Surgical Prophylaxis"
geodon,ziprasidone,Atypical antipsychotics,Autism|Bipolar Disorde|Bipolar Disorder|Body Dysmorphic Disorde|Obsessive Compulsive Disorde|Paranoid Disorde|Schizoaffective Disorde|Schizophrenia|Tourette's Syndrome
gialax,polyethylene glycol 3350,Laxatives,Constipation
glimepiride,glimepiride,Sulfonylureas,"Diabetes (Type 2)|Diabetes, Type 2"
glipizide,glipizide,Sulfonylureas,"Diabetes (Type 2)|Diabetes, Type 2|Not Listed / Othe"
glucotrol,glipizide,Sulfonylureas,"Diabetes (Type 2)|Diabetes, Type 2"
glucotrol xl,glipizide,Sulfonylureas,Diabetes (Type 2)
glumetza,metformin,Non-sulfonylureas,"Diabetes (Type 2)|Diabetes, Type 2"
glyburide,glyburide,Sulfonylureas,"Diabetes (Type 2)|Diabetes, Type 2"
glycerin,glycerin,Laxatives,Constipation|Xerostomia
glycolax,polyethylene glycol 3350,Laxatives,Constipation
glycron,glyburide,Sulfonylureas,Diabetes (Type 2)
glydo,lidocaine topical,Topical anesthetics,Gastrointestinal
glynase,glyburide,Sulfonylureas,Diabetes (Type 2)
glynase prestab,glyburide,Sulfonylureas,Diabetes (Type 2)
glyset,miglitol,Alpha-glucosidase inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
gold bond medicated maximum strength foot,menthol topical,Topical rubefacient,Pain
golimumab,golimumab,TNF alfa inhibitors,Ankylosing Spondylitis|Psoriatic Arthritis|Rheumatoid Arthritis|Spondyloarthritis|Ulcerative Colitis
gordogesic,methyl salicylate topical,Topical rubefacient,Osteoarthritis
grastek,timothy grass pollen allergen extract,Allergenics,Hayfever
guaifenesin,guaifenesin,Expectorants,Bronchiectasis|Bronchitis|Cough|Fibromyalgia|Not Listed / Othe|ibromyalgia
guaifenex g,guaifenesin,Expectorants,Bronchitis
guaifenex la,guaifenesin,Expectorants,Bronchitis
guanfacine,guanfacine,"Antiadrenergic agents, centrally acting",ADHD|ADHD (Attention Deficit Hyperactivity Disorder)|High Blood Pressure|Tourette's Syndrome
h.p. acthar gel,corticotropin,Corticotropin,Allergies|Multiple Sclerosis|Polymyositis/Dermatomyositis
hair regrowth treatment for men,minoxidil,,Hair Loss
hair regrowth treatment for women,minoxidil,Miscellaneous topical agents,Hair Loss
halcinonide,halcinonide topical,Topical steroids,Dermatitis|Eczema
halcion,triazolam,Benzodiazepines,Insomnia
halfprin,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
halobetasol,halobetasol topical,Topical steroids,Dermatitis|Eczema|Granuloma Annulare|Psoriasis
halog,halcinonide topical,Topical steroids,Dermatitis|Eczema
heartburn relief,famotidine,H2 antagonists,GERD (Heartburn)
heartburn relief maximum strength,famotidine,H2 antagonists,GERD (Heartburn)
heet triple action,methyl salicylate topical,Topical rubefacient,Osteoarthritis
hidex,dexamethasone,Glucocorticoids,Eczema
hiprex,methenamine,Urinary anti-infectives,Bladder Infection|Kidney Infections|Prevention of Bladder infection|UTI|Urinary Tract Infection
histex ct,carbinoxamine,Antihistamines,Hayfever
histex ie,carbinoxamine,Antihistamines,Hayfever
humalog,insulin lispro,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
humira,adalimumab,"Antirheumatics, TNF alfa inhibitors","Ankylosing Spondylitis|Behcet's Disease|Crohn's Disease|Crohn's Disease, Acute|Crohn's Disease, Maintenance|Hidradenitis Suppurativa|Juvenile Idiopathic Arthritis|Plaque Psoriasis|Psoriasis|Psoriatic Arthritis|Reiter's Syndrome|Rheumatoid Arthritis|Spondyloarthritis|Ulcerative Colitis"
humulin n,insulin isophane,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
humulin n pen,insulin isophane,Insulin,Diabetes (Type 1)
humulin r,insulin regular,Insulin,Diabetes (Type 1)
hyalgan,sodium hyaluronate,Viscosupplementation agents,Osteoarthritis
hyaluronan,hyaluronan,Viscosupplementation agents,Osteoarthritis
hycamtin,topotecan,Miscellaneous antineoplastics,Cancer
hydergine,ergoloid mesylates,Miscellaneous central nervous system agents,Alzheimer's
hydralazine,hydralazine,Vasodilators,Heart Failure (Congestive Heart Failure)|High Blood Pressure|Hypertension|Hypertensive Emergency
hydrisalic,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
hydrochlorothiazide,hydrochlorothiazide,Thiazide diuretics,Diabetes Insipidus|Edema|High Blood Pressure|High Blood Pressure (Hypertension)|Hypertension|Nephrocalcinosis|Osteoporosis
hydrocil,psyllium,Laxatives,Constipation
hydrocodone,hydrocodone,"Antitussives, Opioids (narcotic analgesics)",Not Listed / Othe|Pain
hydromorphone,hydromorphone,Opioids (narcotic analgesics),Anesthetic Adjunct|Chronic Pain|Cough|Not Listed / Othe|Pain
hydroxychloroquine,hydroxychloroquine,"Antimalarial quinolines, Antirheumatics","Dermatomyositis|Lyme Disease, Arthritis|Malaria|Malaria Prevention (Malaria Prophylaxis)|Not Listed / Othe|Rheumatoid Arthritis|Sjogren's Syndrome|Systemic Lupus Erythematosus|Undifferentiated Connective Tissue Disease"
hylan g-f 20,hylan g-f 20,Viscosupplementation agents,Osteoarthritis
hymovis,hyaluronan,Viscosupplementation agents,Osteoarthritis
hysingla er,hydrocodone,Opioids (narcotic analgesics),Pain
hytrin,terazosin,"Alpha-adrenoreceptor antagonists, Antiadrenergic agents, peripherally acting",Benign Prostatic Hyperplasia|High Blood Pressure|Hyperhidrosis|Hypertension
ibandronate,ibandronate,Bisphosphonates,Osteoporosis|Prevention of Osteoporosis
ibu-200,ibuprofen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
ibuprofen,ibuprofen,Nonsteroidal anti-inflammatory drugs,"Aseptic Necrosis|Back Pain|Chronic Myofascial Pain|Costochondritis|Cystic Fibrosis|Diffuse Idiopathic Skeletal Hyperostosis|Dysautonomia|Eustachian Tube Dysfunction|Fever|Frozen Shoulder|Gout, Acute|Headache|Herniated Disk|Juvenile Rheumatoid Arthritis|Muscle Pain|Neck Pain|Not Listed / Othe|Osteoarthritis|Pain|Patent Ductus Arteriosus|Period Pain|Period Pain (Dysmenorrhea)|Plantar Fasciitis|Polymyalgia Rheumatica|Radiculopathy|Rheumatoid Arthritis|Sciatica|Spondylolisthesis|Temporomandibular Joint Disorde|Temporomandibular Joint Disorder|Toothache|Transverse Myelitis|eve|zen Shoulde"
